"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer";"FV2022 - Blanke stemmer";"FV2022 - Andre ugyldige stemmer";"FV2022 - Gyldige stemmer";"FV2022 - A. Socialdemokratiet";"FV2022 - B. Radikale Venstre";"FV2022 - C. Det Konservative Folkeparti";"FV2022 - D. Nye Borgerlige";"FV2022 - F. SF - Socialistisk Folkeparti";"FV2022 - I. Liberal Alliance";"FV2022 - K. Kristendemokraterne";"FV2022 - M. Minoritetspartiet";"FV2022 - O. Dansk Folkeparti";"FV2022 - Q. Frie Grønne, Danmarks Nye Venstrefløjsparti";"FV2022 - V. Venstre, Danmarks Liberale Parti";"FV2022 - Æ. Danmarksdemokraterne - Inger Støjberg";"FV2022 - Ø. Enhedslisten - De Rød-Grønne";"FV2022 - Å. Alternativet";"FV2022 - 1. Uden for partierne";"FV2022 - 2. Uden for partierne";"FV2022 - 3. Uden for partierne"
"430001";"430001";"48";"6";"2";"1199";"1038";"14";"3";"1021";"326";"18";"28";"51";"70";"51";"4";"65";"50";"3";"165";"135";"34";"20";"1";"-";"-"
"430002";"430002";"48";"6";"2";"1009";"782";"8";"5";"769";"238";"22";"30";"32";"42";"37";"5";"53";"28";"2";"142";"77";"37";"23";"1";"-";"-"
"430003";"430003";"48";"6";"2";"1531";"1290";"13";"2";"1275";"375";"19";"41";"70";"95";"75";"3";"115";"40";"2";"259";"137";"33";"7";"4";"-";"-"
"430004";"430004";"48";"6";"2";"792";"664";"17";"1";"646";"167";"9";"29";"39";"43";"31";"4";"37";"26";"0";"127";"98";"17";"19";"0";"-";"-"
"430005";"430005";"48";"6";"2";"83";"78";"2";"0";"76";"18";"3";"5";"2";"7";"0";"0";"7";"3";"0";"9";"6";"11";"5";"0";"-";"-"
"430007";"430007";"48";"6";"2";"6387";"5372";"76";"18";"5278";"2038";"99";"279";"161";"375";"253";"8";"493";"151";"33";"554";"462";"224";"141";"7";"-";"-"
"430008";"430008";"48";"6";"2";"1498";"1289";"23";"1";"1265";"426";"29";"54";"52";"80";"53";"0";"125";"38";"1";"147";"170";"46";"44";"0";"-";"-"
"430009";"430009";"48";"6";"2";"1493";"1214";"20";"4";"1190";"366";"29";"47";"68";"91";"51";"4";"81";"37";"3";"165";"151";"52";"43";"2";"-";"-"
"430010";"430010";"48";"6";"2";"73";"64";"1";"0";"63";"15";"1";"4";"0";"3";"1";"0";"14";"1";"0";"13";"8";"3";"0";"0";"-";"-"
"430011";"430011";"48";"6";"2";"1612";"1405";"20";"1";"1384";"424";"44";"67";"50";"102";"66";"3";"132";"48";"3";"191";"162";"51";"37";"4";"-";"-"
"430012";"430012";"48";"6";"2";"1328";"1123";"19";"1";"1103";"382";"19";"29";"51";"88";"41";"2";"80";"50";"4";"129";"135";"65";"27";"1";"-";"-"
"430013";"430013";"48";"6";"2";"1102";"941";"10";"3";"928";"289";"10";"40";"37";"52";"47";"2";"84";"29";"1";"161";"120";"28";"26";"2";"-";"-"
"430014";"430014";"48";"6";"2";"1051";"876";"20";"3";"853";"199";"6";"36";"57";"47";"50";"8";"82";"37";"1";"136";"143";"23";"27";"1";"-";"-"
"430015";"430015";"48";"6";"2";"6272";"5245";"96";"17";"5132";"1756";"120";"237";"195";"404";"318";"27";"548";"129";"12";"675";"446";"158";"106";"1";"-";"-"
"430016";"430016";"48";"6";"2";"816";"684";"11";"4";"669";"209";"14";"27";"45";"55";"32";"3";"74";"24";"0";"64";"80";"25";"17";"0";"-";"-"
"430017";"430017";"48";"6";"2";"1583";"1308";"28";"1";"1279";"436";"29";"52";"74";"70";"60";"8";"97";"35";"4";"164";"169";"51";"30";"0";"-";"-"
"430018";"430018";"48";"6";"2";"1781";"1410";"32";"4";"1374";"476";"28";"54";"94";"100";"72";"5";"137";"43";"1";"166";"158";"24";"14";"2";"-";"-"
"430019";"430019";"48";"6";"2";"1777";"1535";"28";"3";"1504";"584";"34";"66";"58";"134";"74";"9";"120";"39";"3";"146";"145";"61";"29";"2";"-";"-"
"430020";"430020";"48";"6";"2";"2870";"2513";"37";"6";"2470";"753";"66";"143";"103";"175";"166";"5";"300";"56";"2";"344";"250";"72";"34";"1";"-";"-"
"430021";"430021";"48";"6";"2";"1443";"1281";"25";"4";"1252";"412";"34";"60";"53";"80";"80";"4";"132";"29";"9";"186";"119";"32";"20";"2";"-";"-"
"430022";"430022";"48";"6";"2";"3533";"3139";"41";"14";"3084";"1156";"83";"142";"88";"236";"169";"15";"367";"69";"3";"345";"242";"94";"73";"2";"-";"-"
"440001";"440001";"46";"6";"2";"1553";"1358";"16";"3";"1339";"473";"23";"79";"58";"115";"59";"6";"98";"36";"1";"124";"149";"71";"45";"2";"-";"-"
